name;cores;cpumark;thread;tdp;socket;cat;cannonname
ARM Phytium,FT-2000/4 4 Core 0 MHz;4;1658;684;NA;Unknown;Mobile/Embedded;ARM Phytium,FT-2000/4 4 Core 0 MHz
ARM Phytium,FT-2000/4 8 Core 2300 MHz;8;2720;603;NA;Unknown;Mobile/Embedded;ARM Phytium,FT-2000/4 8 Core 2300 MHz
ARM Phytium,FT-D3000 8 Core 2500 MHz;8;5601;1250;NA;Unknown;Unknown;ARM Phytium,FT-D3000 8 Core 2500 MHz
ARM Phytium-D3000M 8-C 8 Core 1800 MHz;8;4541;1291;NA;Unknown;Unknown;ARM Phytium-D3000M 8-C 8 Core 1800 MHz
ARM X-Gene 32 Core 3000 MHz;32;8202;608;NA;Unknown;Mobile/Embedded;ARM X-Gene 32 Core 3000 MHz
ARM X-Gene 32 Core 3300 MHz;32;8684;583;NA;Unknown;Mobile/Embedded;ARM X-Gene 32 Core 3300 MHz
ARM X-Gene 8 Core 0 MHz;8;1091;394;NA;Unknown;Mobile/Embedded;ARM X-Gene 8 Core 0 MHz
ASUS Tinker Board 2/2S;6;1771;910;NA;Unknown;Mobile/Embedded;ASUS Tinker Board 2/2S
Athlon 64 Dual Core 3800+;2;736;653;35;Unknown;Unknown;Athlon 64 Dual Core 3800+
Athlon 64 Dual Core 5000+;2;850;924;89;Unknown;Desktop;Athlon 64 Dual Core 5000+
Athlon 64 Dual Core 5600+;2;875;993;65;AM2;Desktop;Athlon 64 Dual Core 5600+
Athlon Dual Core 4050e;2;670;744;45;AM2;Desktop;Athlon Dual Core 4050e
Athlon Dual Core 4450e;2;681;792;45;AM2;Desktop;Athlon Dual Core 4450e
Athlon Dual Core 4850e;2;769;861;45;AM2;Desktop;Athlon Dual Core 4850e
BCM2711;4;852;607;NA;Unknown;Mobile/Embedded;BCM2711
BCM2712;4;3284;1464;NA;Unknown;Mobile/Embedded;BCM2712
BCM2835;4;1239;700;NA;Unknown;Mobile/Embedded;BCM2835
Broadcom BCM2712;4;4376;1810;NA;Unknown;Mobile/Embedded;Broadcom BCM2712
Broadcom STB (Flattened Device Tree);4;659;412;NA;Unknown;Mobile/Embedded;Broadcom STB (Flattened Device Tree)
Celeron Dual-Core T3000 @ 1.80GHz;2;643;688;35;PGA478;Laptop;Celeron Dual-Core T3000 @ 1.80GHz
Celeron Dual-Core T3100 @ 1.90GHz;2;613;655;35;BGA479;Laptop;Celeron Dual-Core T3100 @ 1.90GHz
Celeron Dual-Core T3300 @ 2.00GHz;2;633;711;35;Î¼FCPGA-478;Laptop;Celeron Dual-Core T3300 @ 2.00GHz
Celeron Dual-Core T3500 @ 2.10GHz;2;764;849;35;PGA478;Laptop;Celeron Dual-Core T3500 @ 2.10GHz
CentaurHauls @2000MHz;8;6549;1118;NA;Unknown;Desktop;CentaurHauls @2000MHz
CentaurHauls @2400MHz;8;7784;1345;NA;Unknown;Unknown;CentaurHauls @2400MHz
CentaurHauls @2500MHz;8;8014;1381;NA;Unknown;Desktop;CentaurHauls @2500MHz
CIX P1 CD8180;12;9277;1376;NA;Unknown;Desktop, Laptop;CIX P1 CD8180
Common KVM v2;1;2127;2566;NA;Unknown;Unknown;Common KVM v2
Cortex-A76;4;51;32;NA;Unknown;Unknown;Cortex-A76
DG1201SLF87HW;8;2369;567;NA;Unknown;Unknown;DG1201SLF87HW
DG1301SML87HY;8;3624;727;NA;Unknown;Unknown;DG1301SML87HY
DG1401SNF87ID;8;3645;659;NA;Unknown;Unknown;DG1401SNF87ID
DG1701SNF87IG;8;2981;559;NA;Unknown;Unknown;DG1701SNF87IG
DO-Regular;1;1077;1273;NA;Unknown;Unknown;DO-Regular
Dual-Core AMD Opteron 1220 SE;2;748;900;103;AM2;Server;Dual-Core AMD Opteron 1220 SE
Embedded Ryzen V4728X;8;24000;4015;NA;Unknown;Unknown;Embedded Ryzen V4728X
Essgoo;4;497;349;NA;Unknown;Mobile/Embedded;Essgoo
Fabrikams XY9 @ 3.15 GHz;8;6715;1885;NA;Unknown;Laptop;Fabrikams XY9 @ 3.15 GHz
Firestorm-M1;4;4295;1541;NA;Unknown;Unknown;Firestorm-M1
General Purpose;1;3396;1943;NA;Unknown;Unknown;General Purpose
Generic DT based system;4;639;461;NA;Unknown;Mobile/Embedded;Generic DT based system
Giada JHS558 (Android);6;2022;835;NA;Unknown;Mobile/Embedded;Giada JHS558 (Android)
Google GS201;8;7208;2236;NA;Unknown;Mobile/Embedded;Google GS201
Google R11 BtWifi Evt1.1;2;187;240;NA;Unknown;Mobile/Embedded;Google R11 BtWifi Evt1.1
Google Tensor;8;6691;2265;NA;Unknown;Mobile/Embedded;Google Tensor
Google Tensor G3;9;8030;2374;NA;Unknown;Mobile/Embedded;Google Tensor G3
Google Tensor G4;8;8279;2732;NA;Unknown;Mobile/Embedded;Google Tensor G4
Google Tensor G5;8;12466;3734;NA;Unknown;Mobile/Embedded;Google Tensor G5
Grandstream GXV3480 Video Phone;4;1078;503;NA;Unknown;Mobile/Embedded;Grandstream GXV3480 Video Phone
Hardkernel ODROID-N2Plus;6;2115;888;NA;Unknown;Mobile/Embedded;Hardkernel ODROID-N2Plus
Haydn based on Qualcomm Technologies, Inc SM8350;8;5392;1896;NA;Unknown;Mobile/Embedded;Haydn based on Qualcomm Technologies, Inc SM8350
hi6210sft;8;796;269;NA;Unknown;Mobile/Embedded;hi6210sft
hi6620oem;4;396;321;NA;Unknown;Mobile/Embedded;hi6620oem
High Performance Datacenter v;1;1610;1595;NA;Unknown;Unknown;High Performance Datacenter v
HiSilicon Kirin;8;6405;2261;NA;Unknown;Mobile/Embedded;HiSilicon Kirin
HiSilicon Kirin 659;8;1893;670;NA;Unknown;Mobile/Embedded;HiSilicon Kirin 659
Hisilicon Kirin 925;8;1053;398;NA;Unknown;Mobile/Embedded;Hisilicon Kirin 925
Hisilicon Kirin 930;8;1415;430;NA;Unknown;Mobile/Embedded;Hisilicon Kirin 930
Hisilicon Kirin 935;8;1599;352;NA;Unknown;Mobile/Embedded;Hisilicon Kirin 935
HiSilicon Kirin 950;8;2457;857;NA;Unknown;Mobile/Embedded;HiSilicon Kirin 950
Hisilicon Kirin 955;8;2936;756;NA;Unknown;Mobile/Embedded;Hisilicon Kirin 955
HiSilicon Kirin 960;8;2897;1101;NA;Unknown;Mobile/Embedded;HiSilicon Kirin 960
HiSilicon Kirin 970;8;2908;1110;NA;Unknown;Mobile/Embedded;HiSilicon Kirin 970
Hisilicon Kirin 990;8;3965;1658;NA;Unknown;Mobile/Embedded;Hisilicon Kirin 990
Hisilicon Kirin710;8;2444;941;NA;Unknown;Mobile/Embedded;Hisilicon Kirin710
Hisilicon Kirin810;8;2945;1515;NA;Unknown;Mobile/Embedded;Hisilicon Kirin810
Hisilicon Kirin820;8;4368;1494;NA;Unknown;Mobile/Embedded;Hisilicon Kirin820
Hisilicon Kirin9000;8;5083;2490;NA;Unknown;Mobile/Embedded;Hisilicon Kirin9000
Hisilicon Kirin970;8;2690;921;NA;Unknown;Mobile/Embedded;Hisilicon Kirin970
Hisilicon Kirin980;8;4392;1742;NA;Unknown;Mobile/Embedded;Hisilicon Kirin980
Hisilicon Kirin985;8;4162;1823;NA;Unknown;Mobile/Embedded;Hisilicon Kirin985
HP Hexa-Core 2.0GHz;4;1741;804;NA;Unknown;Unknown;HP Hexa-Core 2.0GHz
Hygon C86 3185 8-core;8;9243;1881;95;Unknown;Desktop;Hygon C86 3185 8-core
Hygon C86 3250 8-core;8;11424;1742;NA;Unknown;Desktop;Hygon C86 3250 8-core
Hygon C86 3330 4-core;4;6031;1702;35;Unknown;Desktop;Hygon C86 3330 4-core
Hygon C86 3350 8-core;8;12795;1716;NA;Unknown;Unknown;Hygon C86 3350 8-core
Hygon C86 52xx series;4;4080;1287;NA;Unknown;Desktop;Hygon C86 52xx series
Hygon C86 7255 16-core;16;18831;1490;NA;Unknown;Server;Hygon C86 7255 16-core
Hygon C86-3G;8;12691;1648;NA;Unknown;Unknown;Hygon C86-3G
Hygon C86-3G (OPN 3350M);8;4660;964;NA;Unknown;Unknown;Hygon C86-3G (OPN 3350M)
Hygon C86-3G (OPN:3350);8;11328;1720;NA;Unknown;Server;Hygon C86-3G (OPN:3350)
Hygon C86-3G (OPN:3350M);8;4742;1015;NA;Unknown;Unknown;Hygon C86-3G (OPN:3350M)
Hygon C86-3G-3G (OPN:3350);8;11712;1226;NA;Unknown;Unknown;Hygon C86-3G-3G (OPN:3350)
Hygon C86-4G (OPN:3450M);8;16306;2221;NA;Unknown;Unknown;Hygon C86-4G (OPN:3450M)
Hygon C86-4G (OPN:3490);16;21968;1745;NA;Unknown;Unknown;Hygon C86-4G (OPN:3490)
Hygon C86-4G (OPN:5440);16;21230;1738;NA;Unknown;Unknown;Hygon C86-4G (OPN:5440)
Intel 2.80GHz;2;341;456;NA;Unknown;Unknown;Intel 2.80GHz
Intel 3 N350;8;4877;1757;7;FCBGA1264;Mobile/Embedded;Intel 3 N350
Intel 3 N355;8;10481;2335;15;FCBGA1264;Mobile/Embedded;Intel 3 N355
Intel 300;2;7247;3216;46;FCLGA1700;Desktop;Intel 300
Intel 300T;2;6084;2786;35;FCLGA1700;Desktop;Intel 300T
Intel Atom 230 @ 1.60GHz;1;169;185;4;BGA437;Desktop;Intel Atom 230 @ 1.60GHz
Intel Atom 330 @ 1.60GHz;2;381;265;8;BGA437;Desktop;Intel Atom 330 @ 1.60GHz
Intel Atom C1110;4;3170;1233;13;Unknown;Mobile/Embedded;Intel Atom C1110
Intel Atom C2338 @ 1.74GHz;2;584;233;7;FCBGA1283;Laptop;Intel Atom C2338 @ 1.74GHz
Intel Atom C2350 @ 1.74GHz;2;520;493;6;FCBGA1283;Server;Intel Atom C2350 @ 1.74GHz
Intel Atom C2358 @ 1.74GHz;2;562;423;7;FCBGA1283;Laptop;Intel Atom C2358 @ 1.74GHz
Intel Atom C2538 @ 2.40GHz;4;968;567;15;FCBGA1283;Laptop;Intel Atom C2538 @ 2.40GHz
Intel Atom C2550 @ 2.40GHz;4;1422;554;14;FCBGA1283;Server;Intel Atom C2550 @ 2.40GHz
Intel Atom C2558 @ 2.40GHz;4;1424;512;15;BGA 1283;Laptop, Mobile/Embedded;Intel Atom C2558 @ 2.40GHz
Intel Atom C2750 @ 2.40GHz;8;2787;693;20;FCBGA1283;Server;Intel Atom C2750 @ 2.40GHz
Intel Atom C2750 @ 2.41GHz;8;2174;291;20;BGA 1283;Server;Intel Atom C2750 @ 2.41GHz
Intel Atom C2758 @ 2.40GHz;8;2317;571;20;BGA 1283;Laptop, Mobile/Embedded;Intel Atom C2758 @ 2.40GHz
Intel Atom C3338 @ 1.50GHz;2;1028;806;8.5;FCBGA1310;Server, Mobile/Embedded;Intel Atom C3338 @ 1.50GHz
Intel Atom C3508 @ 1.60GHz;4;1831;628;11.5;FCBGA1310;Server;Intel Atom C3508 @ 1.60GHz
Intel Atom C3538 @ 2.10GHz;4;1910;747;15;FCBGA1310;Server;Intel Atom C3538 @ 2.10GHz
Intel Atom C3558 @ 2.20GHz;4;2431;856;16;FCBGA1310;Server;Intel Atom C3558 @ 2.20GHz
Intel Atom C3708 @ 1.70GHz;8;3750;681;17;FCBGA1310;Server;Intel Atom C3708 @ 1.70GHz
Intel Atom C3758 @ 2.20GHz;8;4614;867;25;FCBGA1310;Server;Intel Atom C3758 @ 2.20GHz
Intel Atom C3758R @ 2.40GHz;8;5100;955;26;FCBGA1310;Server;Intel Atom C3758R @ 2.40GHz
Intel Atom C3808 @ 2.00GHz;12;5671;801;25;FCBGA1310;Server;Intel Atom C3808 @ 2.00GHz
Intel Atom C3858 @ 2.00GHz;12;5040;702;25;FCBGA1310;Server;Intel Atom C3858 @ 2.00GHz
Intel Atom C3958 @ 2.00GHz;16;3929;737;31;FCBGA1310;Server;Intel Atom C3958 @ 2.00GHz
Intel Atom C5125;8;8631;1486;50;FCBGA2106;Server;Intel Atom C5125
Intel Atom D2500 @ 1.86GHz;2;251;327;10;BGA559;Desktop;Intel Atom D2500 @ 1.86GHz
Intel Atom D2550 @ 1.86GHz;2;409;322;10;BGA559;Desktop;Intel Atom D2550 @ 1.86GHz
Intel Atom D2560 @ 2.00GHz;2;433;353;10;Unknown;Desktop;Intel Atom D2560 @ 2.00GHz
Intel Atom D2700 @ 2.13GHz;2;467;368;10;BGA559;Desktop;Intel Atom D2700 @ 2.13GHz
Intel Atom D2701 @ 2.13GHz;2;515;384;10;BGA559;Laptop;Intel Atom D2701 @ 2.13GHz
Intel Atom D410 @ 1.66GHz;1;180;241;10;BGA559;Desktop;Intel Atom D410 @ 1.66GHz
Intel Atom D425 @ 1.80GHz;1;185;270;10;BGA559;Desktop;Intel Atom D425 @ 1.80GHz
Intel Atom D510 @ 1.66GHz;2;406;293;13;BGA559;Desktop;Intel Atom D510 @ 1.66GHz
Intel Atom D525 @ 1.80GHz;2;397;296;13;BGA559;Desktop;Intel Atom D525 @ 1.80GHz
Intel Atom E3805 @ 1.33GHz;2;406;376;3;FCBGA1170;Mobile/Embedded;Intel Atom E3805 @ 1.33GHz
Intel Atom E3815 @ 1.46GHz;1;193;273;5;FCBGA1170;Desktop;Intel Atom E3815 @ 1.46GHz
Intel Atom E3825 @ 1.33GHz;2;378;309;6;FCBGA1170;Desktop;Intel Atom E3825 @ 1.33GHz
Intel Atom E3826 @ 1.46GHz;2;334;397;7;FCBGA1170;Laptop;Intel Atom E3826 @ 1.46GHz
Intel Atom E3827 @ 1.74GHz;2;480;471;8;FCBGA1170;Laptop;Intel Atom E3827 @ 1.74GHz
Intel Atom E3840 @ 1.91GHz;4;704;477;NA;Unknown;Mobile/Embedded;Intel Atom E3840 @ 1.91GHz
Intel Atom E3845 @ 1.91GHz;4;1069;536;10;FCBGA1170;Desktop;Intel Atom E3845 @ 1.91GHz
Intel Atom E3900 @ 1.60GHz;4;1953;675;NA;Unknown;Laptop;Intel Atom E3900 @ 1.60GHz
Intel Atom N2100 @ 1.60GHz;1;193;287;NA;BGA559;Laptop;Intel Atom N2100 @ 1.60GHz
Intel Atom N2600 @ 1.60GHz;2;344;277;3.5;BGA559;Laptop;Intel Atom N2600 @ 1.60GHz
Intel Atom N270 @ 1.60GHz;1;136;174;2.5;BGA437;Laptop;Intel Atom N270 @ 1.60GHz
Intel Atom N280 @ 1.66GHz;1;157;234;2.5;BGA437;Laptop;Intel Atom N280 @ 1.66GHz
Intel Atom N2800 @ 1.86GHz;2;444;319;6.5;BGA559;Laptop;Intel Atom N2800 @ 1.86GHz
Intel Atom N435 @ 1.33GHz;1;153;220;NA;Unknown;Unknown;Intel Atom N435 @ 1.33GHz
Intel Atom N450 @ 1.66GHz;1;202;277;5.5;BGA559;Laptop;Intel Atom N450 @ 1.66GHz
Intel Atom N455 @ 1.66GHz;1;188;266;6.5;BGA559;Laptop;Intel Atom N455 @ 1.66GHz
Intel Atom N470 @ 1.83GHz;1;224;306;6.5;BGA559;Laptop;Intel Atom N470 @ 1.83GHz
Intel Atom N475 @ 1.83GHz;1;179;281;6.5;BGA559;Laptop;Intel Atom N475 @ 1.83GHz
Intel Atom N550 @ 1.50GHz;2;304;239;8.5;BGA559;Laptop;Intel Atom N550 @ 1.50GHz
Intel Atom N570 @ 1.66GHz;2;360;276;8.5;BGA559;Laptop;Intel Atom N570 @ 1.66GHz
Intel Atom P5322;8;7378;1198;55;FCBGA2106;Server;Intel Atom P5322
Intel Atom P5342;16;13085;1185;71;FCBGA2106;Server;Intel Atom P5342
Intel Atom P5362;24;17276;1193;83;FCBGA2106;Server;Intel Atom P5362
Intel Atom S1260 @ 2.00GHz;2;526;313;8.5;FCBGA1283;Server;Intel Atom S1260 @ 2.00GHz
Intel Atom T5700 @ 1.70GHz;4;2363;906;NA;Unknown;Laptop;Intel Atom T5700 @ 1.70GHz
Intel Atom x5-E3930 @ 1.30GHz;2;896;609;6.5;BGA1296;Laptop;Intel Atom x5-E3930 @ 1.30GHz
Intel Atom x5-E3940 @ 1.60GHz;4;1863;673;9.5;BGA1296;Laptop;Intel Atom x5-E3940 @ 1.60GHz
Intel Atom x5-E8000 @ 1.04GHz;4;971;514;5;FCBGA1170;Laptop;Intel Atom x5-E8000 @ 1.04GHz
Intel Atom x5-Z8300 @ 1.44GHz;4;840;459;4;UTFCBGA592;Laptop, Mobile/Embedded;Intel Atom x5-Z8300 @ 1.44GHz
Intel Atom x5-Z8330 @ 1.44GHz;4;800;457;4;Unknown;Laptop;Intel Atom x5-Z8330 @ 1.44GHz
Intel Atom x5-Z8350 @ 1.44GHz;4;894;471;4;UTFCBGA592;Laptop;Intel Atom x5-Z8350 @ 1.44GHz
Intel Atom x5-Z8500 @ 1.44GHz;4;1242;629;4;UTFCBGA1380;Laptop;Intel Atom x5-Z8500 @ 1.44GHz
Intel Atom x5-Z8550 @ 1.44GHz;4;1143;664;4;UTFCBGA1380;Laptop, Mobile/Embedded;Intel Atom x5-Z8550 @ 1.44GHz
Intel Atom x6211E @ 1.20GHz;2;1695;1304;6;FCBGA1493;Mobile/Embedded;Intel Atom x6211E @ 1.20GHz
Intel Atom x6211E @ 1.30GHz;2;1762;1170;6;FCBGA1493;Mobile/Embedded;Intel Atom x6211E @ 1.30GHz
Intel Atom x6214RE @ 1.40GHz;2;1109;754;6;FCBGA1493;Mobile/Embedded;Intel Atom x6214RE @ 1.40GHz
Intel Atom x6413E @ 1.50GHz;4;3917;1518;9;FCBGA1493;Mobile/Embedded;Intel Atom x6413E @ 1.50GHz
Intel Atom x6414RE @ 1.50GHz;4;2128;721;9;FCBGA1493;Mobile/Embedded;Intel Atom x6414RE @ 1.50GHz
Intel Atom x6425E @ 2.00GHz;4;3675;1393;12;FCBGA1493;Mobile/Embedded;Intel Atom x6425E @ 2.00GHz
Intel Atom x6425RE @ 1.90GHz;4;2819;997;12;FCBGA1493;Mobile/Embedded;Intel Atom x6425RE @ 1.90GHz
Intel Atom x6427FE @ 1.90GHz;4;3196;1016;12;FCBGA1493;Mobile/Embedded;Intel Atom x6427FE @ 1.90GHz
Intel Atom x7-E3950 @ 1.60GHz;4;2071;741;12;BGA1296;Laptop;Intel Atom x7-E3950 @ 1.60GHz
Intel Atom x7-Z8700 @ 1.60GHz;4;1325;648;4;BGA1380;Laptop;Intel Atom x7-Z8700 @ 1.60GHz
Intel Atom x7-Z8750 @ 1.60GHz;4;1294;661;4;UTFCBGA1380;Laptop;Intel Atom x7-Z8750 @ 1.60GHz
Intel Atom x7211E;2;2553;1434;6;FCBGA1264;Mobile/Embedded;Intel Atom x7211E
Intel Atom x7211RE;2;2188;1364;6;FCBGA1264;Mobile/Embedded;Intel Atom x7211RE
Intel Atom x7213RE;2;2425;1474;9;FCBGA1264;Mobile/Embedded;Intel Atom x7213RE
Intel Atom x7405C;4;5218;1675;12;FCBGA1264;Mobile/Embedded;Intel Atom x7405C
Intel Atom x7425E;4;5427;1916;12;FCBGA1264;Mobile/Embedded;Intel Atom x7425E
Intel Atom x7433RE;4;4049;1499;9;FCBGA1264;Mobile/Embedded;Intel Atom x7433RE
Intel Atom x7809C;8;9409;1462;25;FCBGA1264;Mobile/Embedded;Intel Atom x7809C
Intel Atom x7835RE;8;6513;1393;12;FCBGA1264;Mobile/Embedded;Intel Atom x7835RE
Intel Atom Z2760 @ 1.80GHz;2;298;206;NA;FC-MB4760;Laptop;Intel Atom Z2760 @ 1.80GHz
Intel Atom Z3530 @ 1.33GHz;4;565;368;NA;FC-MB5T1064;Mobile/Embedded;Intel Atom Z3530 @ 1.33GHz
Intel Atom Z3560 @ 1.00GHz;4;749;486;NA;Unknown;Mobile/Embedded;Intel Atom Z3560 @ 1.00GHz
Intel Atom Z3560 @ 1.83GHz;4;690;476;NA;Unknown;Mobile/Embedded;Intel Atom Z3560 @ 1.83GHz
Intel Atom Z3580 @ 1.33GHz;4;802;587;NA;Unknown;Laptop, Mobile/Embedded;Intel Atom Z3580 @ 1.33GHz
Intel Atom Z3735D @ 1.33GHz;4;704;544;4.4;Unknown;Laptop;Intel Atom Z3735D @ 1.33GHz
Intel Atom Z3735E @ 1.33GHz;4;557;478;4.4;UTFCBGA1380;Laptop;Intel Atom Z3735E @ 1.33GHz
Intel Atom Z3735F @ 1.33GHz;4;543;388;4.4;UTFCBGA592;Laptop;Intel Atom Z3735F @ 1.33GHz
Intel Atom Z3735G @ 1.33GHz;4;772;476;4.4;Unknown;Laptop;Intel Atom Z3735G @ 1.33GHz
Intel Atom Z3736F @ 1.33GHz;4;496;423;4.4;UTFCBGA592;Laptop;Intel Atom Z3736F @ 1.33GHz
Intel Atom Z3740 @ 1.33GHz;4;638;414;4;UTFCBGA1380;Laptop;Intel Atom Z3740 @ 1.33GHz
Intel Atom Z3740D @ 1.33GHz;4;618;434;4.4;UTFCBGA1380;Laptop;Intel Atom Z3740D @ 1.33GHz
Intel Atom Z3745 @ 1.33GHz;4;621;435;4;UTFCBGA1380;Laptop;Intel Atom Z3745 @ 1.33GHz
Intel Atom Z3745D @ 1.33GHz;4;599;415;4.4;Unknown;Laptop;Intel Atom Z3745D @ 1.33GHz
Intel Atom Z3770 @ 1.46GHz;4;728;535;4;UTFCBGA1380;Laptop;Intel Atom Z3770 @ 1.46GHz
Intel Atom Z3770D @ 1.49GHz;4;488;361;4.4;BGA1380;Laptop;Intel Atom Z3770D @ 1.49GHz
Intel Atom Z3775 @ 1.46GHz;4;702;506;4;UTFCBGA1380;Laptop;Intel Atom Z3775 @ 1.46GHz
Intel Atom Z3775D @ 1.49GHz;4;794;646;4.4;UTFCBGA1380;Laptop;Intel Atom Z3775D @ 1.49GHz
Intel Atom Z3795 @ 1.60GHz;4;1196;644;4;UTFCBGA1380;Laptop;Intel Atom Z3795 @ 1.60GHz
Intel Atom Z520 @ 1.33GHz;1;122;151;2;BGA441;Laptop;Intel Atom Z520 @ 1.33GHz
Intel Atom Z530 @ 1.60GHz;1;183;161;2;BGA441;Laptop;Intel Atom Z530 @ 1.60GHz
Intel Atom Z670 @ 1.50GHz;1;158;95;3;BGA518;Laptop;Intel Atom Z670 @ 1.50GHz
Intel CC150 @ 3.50GHz;8;14334;2122;NA;FCLGA1151;Unknown;Intel CC150 @ 3.50GHz
Intel Celeron 1.70GHz;1;101;190;NA;Unknown;Unknown;Intel Celeron 1.70GHz
Intel Celeron 1.80GHz;1;96;307;66.1;PPGA478;Desktop;Intel Celeron 1.80GHz
Intel Celeron 1000M @ 1.80GHz;2;1071;972;35;FCPGA988;Laptop;Intel Celeron 1000M @ 1.80GHz
Intel Celeron 1000MHz;1;139;174;NA;Unknown;Unknown;Intel Celeron 1000MHz
Intel Celeron 1005M @ 1.90GHz;2;1116;1019;35;FCPGA988;Laptop;Intel Celeron 1005M @ 1.90GHz
Intel Celeron 1007U @ 1.50GHz;2;848;777;17;FCBGA1023;Laptop;Intel Celeron 1007U @ 1.50GHz
Intel Celeron 1017U @ 1.60GHz;2;878;804;17;FCBGA1023;Laptop;Intel Celeron 1017U @ 1.60GHz
Intel Celeron 1019Y @ 1.00GHz;2;576;521;10;FCBGA1023;Desktop;Intel Celeron 1019Y @ 1.00GHz
Intel Celeron 1020E @ 2.20GHz;2;1406;1224;35;FCBGA1023, FCP;Laptop;Intel Celeron 1020E @ 2.20GHz
Intel Celeron 1020M @ 2.10GHz;2;1275;1176;35;FCPGA988;Laptop;Intel Celeron 1020M @ 2.10GHz
Intel Celeron 1037U @ 1.80GHz;2;1032;934;17;FCBGA1023;Laptop;Intel Celeron 1037U @ 1.80GHz
Intel Celeron 1047UE @ 1.40GHz;2;748;526;17;FCBGA1023;Desktop;Intel Celeron 1047UE @ 1.40GHz
Intel Celeron 1100MHz;1;113;183;NA;Unknown;Unknown;Intel Celeron 1100MHz
Intel Celeron 1200MHz;1;159;212;NA;Unknown;Unknown;Intel Celeron 1200MHz
Intel Celeron 2.00GHz;1;125;338;52.8;PPGA478;Desktop;Intel Celeron 2.00GHz
Intel Celeron 2.13GHz;1;166;361;NA;Unknown;Unknown;Intel Celeron 2.13GHz
Intel Celeron 2.20GHz;1;139;349;NA;Unknown;Unknown;Intel Celeron 2.20GHz
Intel Celeron 2.26GHz;1;182;382;NA;Unknown;Unknown;Intel Celeron 2.26GHz
Intel Celeron 2.30GHz;1;148;364;NA;Unknown;Unknown;Intel Celeron 2.30GHz
Intel Celeron 2.40GHz;1;143;397;NA;Unknown;Unknown;Intel Celeron 2.40GHz
Intel Celeron 2.50GHz;1;164;431;NA;Unknown;Unknown;Intel Celeron 2.50GHz
Intel Celeron 2.53GHz;1;222;396;NA;Unknown;Unknown;Intel Celeron 2.53GHz
Intel Celeron 2.60GHz;1;143;353;NA;Unknown;Unknown;Intel Celeron 2.60GHz
Intel Celeron 2.66GHz;1;131;359;NA;Unknown;Unknown;Intel Celeron 2.66GHz
Intel Celeron 2.70GHz;1;159;386;NA;Unknown;Unknown;Intel Celeron 2.70GHz
Intel Celeron 2.80GHz;1;190;425;68.4;PPGA478;Desktop;Intel Celeron 2.80GHz
Intel Celeron 2.93GHz;1;230;396;NA;Unknown;Unknown;Intel Celeron 2.93GHz
Intel Celeron 2000E @ 2.20GHz;2;1607;1282;37;FCBGA1364;Laptop;Intel Celeron 2000E @ 2.20GHz
Intel Celeron 2002E @ 1.50GHz;2;1091;871;25;FCBGA1364;Laptop;Intel Celeron 2002E @ 1.50GHz
Intel Celeron 215 @ 1.33GHz;1;174;440;27;BGA479;Laptop;Intel Celeron 215 @ 1.33GHz
Intel Celeron 220 @ 1.20GHz;1;209;255;19;BGA479;Desktop;Intel Celeron 220 @ 1.20GHz
Intel Celeron 2950M @ 2.00GHz;2;1238;1136;37;FCPGA946;Laptop;Intel Celeron 2950M @ 2.00GHz
Intel Celeron 2955U @ 1.40GHz;2;909;803;15;FCBGA1168;Laptop;Intel Celeron 2955U @ 1.40GHz
Intel Celeron 2957U @ 1.40GHz;2;850;771;15;FCBGA1168;Laptop;Intel Celeron 2957U @ 1.40GHz
Intel Celeron 2961Y @ 1.10GHz;2;684;634;11.5;Unknown;Laptop;Intel Celeron 2961Y @ 1.10GHz
Intel Celeron 2970M @ 2.20GHz;2;1501;1245;37;FCPGA946;Laptop;Intel Celeron 2970M @ 2.20GHz
Intel Celeron 2980U @ 1.60GHz;2;1092;933;15;FCBGA1168;Laptop;Intel Celeron 2980U @ 1.60GHz
Intel Celeron 2981U @ 1.60GHz;2;1036;899;15;BGA1168;Laptop;Intel Celeron 2981U @ 1.60GHz
Intel Celeron 3.06GHz;1;307;544;NA;Unknown;Unknown;Intel Celeron 3.06GHz
Intel Celeron 3.20GHz;1;267;599;NA;Unknown;Unknown;Intel Celeron 3.20GHz
Intel Celeron 3.33GHz;1;263;528;NA;Unknown;Unknown;Intel Celeron 3.33GHz
Intel Celeron 3205U @ 1.50GHz;2;961;910;15;FCBGA1168;Laptop;Intel Celeron 3205U @ 1.50GHz
Intel Celeron 3215U @ 1.70GHz;2;1102;1016;15;FCBGA1168;Laptop;Intel Celeron 3215U @ 1.70GHz
Intel Celeron 3755U @ 1.70GHz;2;1182;1022;15;FCBGA1168;Laptop;Intel Celeron 3755U @ 1.70GHz
Intel Celeron 3765U @ 1.90GHz;2;1252;1171;15;FCBGA1168;Laptop;Intel Celeron 3765U @ 1.90GHz
Intel Celeron 3855U @ 1.60GHz;2;1215;903;15;FCBGA1356;Laptop;Intel Celeron 3855U @ 1.60GHz
Intel Celeron 3865U @ 1.80GHz;2;1343;1047;15;BGA1356;Laptop;Intel Celeron 3865U @ 1.80GHz
Intel Celeron 3867U @ 1.80GHz;2;1441;1091;15;FCBGA1356;Laptop;Intel Celeron 3867U @ 1.80GHz
Intel Celeron 3955U @ 2.00GHz;2;1443;1144;15;FCBGA1356;Laptop;Intel Celeron 3955U @ 2.00GHz
